genes	geneENSTID	geneENSPID	geneUniProtID	geneNames	geneEntrezID
"ENSG00000000419"	"ENST00000371582;ENST00000371588;ENST00000371584;ENST00000413082"	"ENSP00000394921;ENSP00000360640;ENSP00000360638;ENSP00000360644"	"O60762"	"DPM1"	"8813"
"ENSG00000000938"	"ENST00000399173;ENST00000374004;ENST00000374003;ENST00000374005;ENST00000457296"	"ENSP00000382126;ENSP00000363117;ENSP00000407670;ENSP00000363116;ENSP00000363115"	"P09769"	"FGR"	"2268"
"ENSG00000001036"	"ENST00000451668;ENST00000002165"	"ENSP00000002165;ENSP00000398119"	"Q9BTY2"	"FUCA2"	"2519"
"ENSG00000001084"	"ENST00000509541;ENST00000504525;ENST00000514004;ENST00000513939;ENST00000616923;ENST00000643939;ENST00000650454;ENST00000505197"	"ENSP00000421908;ENSP00000482756;ENSP00000497574;ENSP00000427403;ENSP00000421228;ENSP00000424211;ENSP00000495056;ENSP00000495686"	"P48506"	"GCLC"	"2729"
"ENSG00000001630"	"ENST00000003100;ENST00000422867;ENST00000450723"	"ENSP00000406757;ENSP00000003100;ENSP00000394268"	"Q16850"	"CYP51A1"	"1595"
"ENSG00000002549"	"ENST00000618908;ENST00000606142;ENST00000509583;ENST00000226299;ENST00000513105"	"ENSP00000226299;ENSP00000481000;ENSP00000424724;ENSP00000476028;ENSP00000423350"	"P28838"	"LAP3"	"51056"
"ENSG00000002587"	"ENST00000510712;ENST00000002596;ENST00000514690"	"ENSP00000422629;ENSP00000002596;ENSP00000425673"	"O14792"	"HS3ST1"	"9957"
"ENSG00000002726"	"ENST00000467291;ENST00000360937;ENST00000493429;ENST00000460213;ENST00000416793;ENST00000483043"	"ENSP00000418328;ENSP00000354193;ENSP00000418614;ENSP00000418557;ENSP00000417392;ENSP00000411613"	"P19801"	"AOC1"	"26"
"ENSG00000002746"	"ENST00000395891;ENST00000429529;ENST00000453890"	"ENSP00000407774;ENSP00000379228;ENSP00000413336"	"Q76N89"	"HECW1"	"23072"
"ENSG00000003137"	"ENST00000412253;ENST00000546307;ENST00000474509;ENST00000001146;ENST00000461519"	"ENSP00000430888;ENSP00000001146;ENSP00000443304;ENSP00000401465;ENSP00000430871"	"Q9NR63"	"CYP26B1"	"56603"
"ENSG00000003987"	"ENST00000521857;ENST00000517317;ENST00000180173"	"ENSP00000431000;ENSP00000429733;ENSP00000180173"	"Q9Y216"	"MTMR7"	"9108"
"ENSG00000003989"	"ENST00000522656;ENST00000398090;ENST00000494857;ENST00000640220;ENST00000470360;ENST00000004531"	"ENSP00000381164;ENSP00000430464;ENSP00000492016;ENSP00000419873;ENSP00000004531;ENSP00000419140"	"P52569"	"SLC7A2"	"6542"
